File,Line,Column,Pattern,Type,Severity,Impact,Description,Suggested Fix
"lib/migration/config.ts",17,29,"pub ",pub-keyword,critical,high,"Legacy pub keyword found","Replace with access(all) or appropriate access modifier"
"lib/migration/config.ts",23,29,"pub(set) ",pub-keyword,critical,high,"Legacy pub(set) keyword found","Replace with access(all) and implement setter restrictions"
"lib/migration/config.ts",39,28,"account.save(",storage-api,critical,high,"Legacy account.save() found","Replace with account.storage.save()"
"lib/migration/config.ts",45,28,"account.borrow(",storage-api,critical,high,"Legacy account.borrow() found","Replace with account.capabilities.borrow()"
"lib/migration/demo-api-validation.ts",16,7,"pub ",pub-keyword,critical,high,"Legacy pub keyword found","Replace with access(all) or appropriate access modifier"
"lib/migration/demo-api-validation.ts",20,7,"pub ",pub-keyword,critical,high,"Legacy pub keyword found","Replace with access(all) or appropriate access modifier"
"lib/migration/demo-api-validation.ts",21,9,"pub ",pub-keyword,critical,high,"Legacy pub keyword found","Replace with access(all) or appropriate access modifier"
"lib/migration/demo-api-validation.ts",25,11,"account.save(",storage-api,critical,high,"Legacy account.save() found","Replace with account.storage.save()"
"lib/migration/demo.ts",11,5,"pub ",pub-keyword,critical,high,"Legacy pub keyword found","Replace with access(all) or appropriate access modifier"
"lib/migration/demo.ts",14,5,"pub ",pub-keyword,critical,high,"Legacy pub keyword found","Replace with access(all) or appropriate access modifier"
"lib/migration/demo.ts",18,5,"pub ",pub-keyword,critical,high,"Legacy pub keyword found","Replace with access(all) or appropriate access modifier"
"lib/migration/demo.ts",22,5,"pub ",pub-keyword,critical,high,"Legacy pub keyword found","Replace with access(all) or appropriate access modifier"
"lib/migration/demo.ts",26,5,"pub ",pub-keyword,critical,high,"Legacy pub keyword found","Replace with access(all) or appropriate access modifier"
"lib/migration/demo.ts",64,20,"pub ",pub-keyword,critical,high,"Legacy pub keyword found","Replace with access(all) or appropriate access modifier"
"lib/migration/demo.ts",12,5,"pub(set) ",pub-keyword,critical,high,"Legacy pub(set) keyword found","Replace with access(all) and implement setter restrictions"
"lib/migration/demo.ts",65,20,"pub(set) ",pub-keyword,critical,high,"Legacy pub(set) keyword found","Replace with access(all) and implement setter restrictions"
"lib/migration/demo.ts",19,9,"account.save(",storage-api,critical,high,"Legacy account.save() found","Replace with account.storage.save()"
"lib/migration/realtime-validator.ts",289,39,"pub ",pub-keyword,critical,high,"Legacy pub keyword found","Replace with access(all) or appropriate access modifier"
"lib/migration/realtime-validator.ts",290,39,"pub ",pub-keyword,critical,high,"Legacy pub keyword found","Replace with access(all) or appropriate access modifier"
"lib/migration/realtime-validator.ts",290,82,"pub ",pub-keyword,critical,high,"Legacy pub keyword found","Replace with access(all) or appropriate access modifier"
"lib/migration/realtime-validator.ts",291,39,"pub ",pub-keyword,critical,high,"Legacy pub keyword found","Replace with access(all) or appropriate access modifier"
"lib/migration/realtime-validator.ts",291,85,"pub ",pub-keyword,critical,high,"Legacy pub keyword found","Replace with access(all) or appropriate access modifier"
"lib/migration/realtime-validator.ts",291,133,"pub ",pub-keyword,critical,high,"Legacy pub keyword found","Replace with access(all) or appropriate access modifier"
"lib/migration/realtime-validator.ts",390,16,"pub ",pub-keyword,critical,high,"Legacy pub keyword found","Replace with access(all) or appropriate access modifier"
"lib/migration/realtime-validator.ts",396,16,"account.save(",storage-api,critical,high,"Legacy account.save() found","Replace with account.storage.save()"
"lib/migration/syntax-transformer.ts",18,8,"pub ",pub-keyword,critical,high,"Legacy pub keyword found","Replace with access(all) or appropriate access modifier"
"lib/migration/syntax-transformer.ts",20,22,"pub ",pub-keyword,critical,high,"Legacy pub keyword found","Replace with access(all) or appropriate access modifier"
"lib/migration/syntax-transformer.ts",28,57,"pub ",pub-keyword,critical,high,"Legacy pub keyword found","Replace with access(all) or appropriate access modifier"
"lib/migration/syntax-transformer.ts",37,29,"pub ",pub-keyword,critical,high,"Legacy pub keyword found","Replace with access(all) or appropriate access modifier"
"lib/migration/syntax-transformer.ts",38,24,"pub ",pub-keyword,critical,high,"Legacy pub keyword found","Replace with access(all) or appropriate access modifier"
"lib/migration/syntax-transformer.ts",42,38,"pub ",pub-keyword,critical,high,"Legacy pub keyword found","Replace with access(all) or appropriate access modifier"
"lib/migration/syntax-transformer.ts",19,8,"pub(set) ",pub-keyword,critical,high,"Legacy pub(set) keyword found","Replace with access(all) and implement setter restrictions"
"lib/migration/syntax-transformer.ts",28,18,"pub(set) ",pub-keyword,critical,high,"Legacy pub(set) keyword found","Replace with access(all) and implement setter restrictions"
"lib/migration/syntax-transformer.ts",29,24,"pub(set) ",pub-keyword,critical,high,"Legacy pub(set) keyword found","Replace with access(all) and implement setter restrictions"
"lib/migration/syntax-transformer.ts",33,38,"pub(set) ",pub-keyword,critical,high,"Legacy pub(set) keyword found","Replace with access(all) and implement setter restrictions"
"lib/migration/syntax-transformer.ts",103,8,"account.save(",storage-api,critical,high,"Legacy account.save() found","Replace with account.storage.save()"
"lib/migration/syntax-transformer.ts",113,18,"account.save(",storage-api,critical,high,"Legacy account.save() found","Replace with account.storage.save()"
"lib/migration/syntax-transformer.ts",104,8,"account.link(",storage-api,critical,high,"Legacy account.link() found","Replace with account.capabilities.storage.issue() + account.capabilities.publish()"
"lib/migration/syntax-transformer.ts",145,14,"account.link(",storage-api,critical,high,"Legacy account.link() found","Replace with account.capabilities.storage.issue() + account.capabilities.publish()"
"lib/migration/syntax-transformer.ts",150,31,"account.link(",storage-api,critical,high,"Legacy account.link() found","Replace with account.capabilities.storage.issue() + account.capabilities.publish()"
"lib/migration/syntax-transformer.ts",105,8,"account.borrow(",storage-api,critical,high,"Legacy account.borrow() found","Replace with account.capabilities.borrow()"
"lib/migration/syntax-transformer.ts",129,18,"account.borrow(",storage-api,critical,high,"Legacy account.borrow() found","Replace with account.capabilities.borrow()"
"lib/migration/template-migrator.ts",150,73,"pub ",pub-keyword,critical,high,"Legacy pub keyword found","Replace with access(all) or appropriate access modifier"
"lib/migration/template-migrator.ts",165,18,"pub ",pub-keyword,critical,high,"Legacy pub keyword found","Replace with access(all) or appropriate access modifier"
"lib/migration/template-migrator.ts",167,22,"pub ",pub-keyword,critical,high,"Legacy pub keyword found","Replace with access(all) or appropriate access modifier"
"lib/migration/template-migrator.ts",151,30,"pub(set) ",pub-keyword,critical,high,"Legacy pub(set) keyword found","Replace with access(all) and implement setter restrictions"
"lib/migration/template-migrator.ts",170,18,"pub(set) ",pub-keyword,critical,high,"Legacy pub(set) keyword found","Replace with access(all) and implement setter restrictions"
"lib/migration/template-migrator.ts",172,22,"pub(set) ",pub-keyword,critical,high,"Legacy pub(set) keyword found","Replace with access(all) and implement setter restrictions"
"lib/migration/template-scanner.ts",248,73,"pub ",pub-keyword,critical,high,"Legacy pub keyword found","Replace with access(all) or appropriate access modifier"
"lib/migration/template-scanner.ts",264,32,"pub ",pub-keyword,critical,high,"Legacy pub keyword found","Replace with access(all) or appropriate access modifier"
"lib/migration/template-scanner.ts",264,66,"pub ",pub-keyword,critical,high,"Legacy pub keyword found","Replace with access(all) or appropriate access modifier"
"lib/migration/template-scanner.ts",249,30,"pub(set) ",pub-keyword,critical,high,"Legacy pub(set) keyword found","Replace with access(all) and implement setter restrictions"
"lib/migration/validate-migrated-templates.ts",165,18,"pub ",pub-keyword,critical,high,"Legacy pub keyword found","Replace with access(all) or appropriate access modifier"
"lib/migration/validate-migrated-templates.ts",167,28,"pub ",pub-keyword,critical,high,"Legacy pub keyword found","Replace with access(all) or appropriate access modifier"
"lib/migration/validate-migrated-templates.ts",170,18,"pub(set) ",pub-keyword,critical,high,"Legacy pub(set) keyword found","Replace with access(all) and implement setter restrictions"
"lib/migration/validate-migrated-templates.ts",172,28,"pub(set) ",pub-keyword,critical,high,"Legacy pub(set) keyword found","Replace with access(all) and implement setter restrictions"
"lib/vibesdk.ts",104,37,"account.save(",storage-api,critical,high,"Legacy account.save() found","Replace with account.storage.save()"
"lib/vibesdk.ts",105,13,"account.link(",storage-api,critical,high,"Legacy account.link() found","Replace with account.capabilities.storage.issue() + account.capabilities.publish()"
"components/ui/calendar.tsx",158,18,": CalendarDayButton,
        WeekNumber",interface-conformance,warning,medium,"Legacy interface conformance syntax found","Replace comma-separated interfaces with ampersand (&) syntax"
"lib/migration/demo-api-validation.ts",20,25,": Provider, Receiver",interface-conformance,warning,medium,"Legacy interface conformance syntax found","Replace comma-separated interfaces with ampersand (&) syntax"
"lib/migration/realtime-validator.ts",402,30,": Provider, Receiver",interface-conformance,warning,medium,"Legacy interface conformance syntax found","Replace comma-separated interfaces with ampersand (&) syntax"
"lib/migration/syntax-transformer.ts",121,18,"account.load(",storage-api,warning,medium,"Legacy account.load() found","Replace with account.storage.load()"
"lib/migration/syntax-transformer.ts",55,16,": Interface1, Interface2",interface-conformance,warning,medium,"Legacy interface conformance syntax found","Replace comma-separated interfaces with ampersand (&) syntax"
"lib/migration/syntax-transformer.ts",64,37,": Interface1, Interface2",interface-conformance,warning,medium,"Legacy interface conformance syntax found","Replace comma-separated interfaces with ampersand (&) syntax"
"lib/migration/template-migrator.ts",176,45,": Interface1, Interface2",interface-conformance,warning,medium,"Legacy interface conformance syntax found","Replace comma-separated interfaces with ampersand (&) syntax"
"lib/vibesdk.ts",109,28,": NonFungibleToken, FungibleToken",interface-conformance,warning,medium,"Legacy interface conformance syntax found","Replace comma-separated interfaces with ampersand (&) syntax"
"lib/vibesdk.ts",114,17,": Display, Serial",interface-conformance,warning,medium,"Legacy interface conformance syntax found","Replace comma-separated interfaces with ampersand (&) syntax"
"lib/vibesdk.ts",124,31,": StoragePath, PublicPath",interface-conformance,warning,medium,"Legacy interface conformance syntax found","Replace comma-separated interfaces with ampersand (&) syntax"
".kiro/specs/cadence-syntax-migration/design.md",244,20,"pub ",pub-keyword,suggestion,low,"Legacy pub keyword found (in documentation context)","Consider if this example is still needed or should be updated"
".kiro/specs/cadence-syntax-migration/design.md",245,20,"pub ",pub-keyword,suggestion,low,"Legacy pub keyword found (in documentation context)","Consider if this example is still needed or should be updated"
".kiro/specs/cadence-syntax-migration/design.md",264,40,"pub ",pub-keyword,suggestion,low,"Legacy pub keyword found (in documentation context)","Consider if this example is still needed or should be updated"
".kiro/specs/cadence-syntax-migration/design.md",276,35,"pub ",pub-keyword,suggestion,low,"Legacy pub keyword found (in documentation context)","Consider if this example is still needed or should be updated"
".kiro/specs/cadence-syntax-migration/design.md",141,4,"account.save(",storage-api,suggestion,low,"Legacy account.save() found (in documentation context)","Consider if this example is still needed or should be updated"
